id,title,body,author,slug,image,alt,tags,category
2538,Why does Intellichoice do so much research for their Owner Builder Home Loans?,intellichoice-much-research-owner-builder-home-loans.html,Darin Hindmarsh,intellichoice-much-research-owner-builder-home-loans,Owner-Builder-Home-Loans-Intellichoice.jpg,Owner Builder Home Loans - Intellichoice,,13
2536,Why do People Owner Builder,people-owner-builder.html,Darin Hindmarsh,people-owner-builder,Why-do-People-Owner-Builder-intellichoice.jpg,Why do People Owner Builder - intellichoice,,13
2530,Thank you for making my dreams come true,thank-making-dreams-come-true.html,Darin Hindmarsh,thank-making-dreams-come-true,dreams-come-true-intellichoice.jpg,dreams come true - intellichoice,,"10,13"
2507,What's it really like to be an Owner Builder?,whats-really-like-owner-builder.html,Darin Hindmarsh,whats-really-like-owner-builder,to-be-an-Owner-Builder-intellichoice.jpg,to be an Owner Builder - intellichoice,,13
2505,The real story about Owner Builder Finance,real-story-owner-builder-finance.html,Darin Hindmarsh,real-story-owner-builder-finance,Owner-Builder-Finance-intellichoice.jpg,Owner Builder Finance - intellichoice,,13
2489,What are the Pros and Cons of Inventory Finance,pros-cons-inventory-finance.html,Darin Hindmarsh,pros-cons-inventory-finance,Pros-and-Cons-of-Inventory-Finance-intellichoice.jpg,Pros and Cons of Inventory Finance - intellichoice,,9
2487,Inventory Finance The Basics,inventory-finance-basics.html,Darin Hindmarsh,inventory-finance-basics,Inventory-Finance-The-Basics-intellichoice.jpg,Inventory Finance The Basics - intellichoice,,9
2436,Find the Right Trade Finance,find-right-trade-finance.html,Darin Hindmarsh,find-right-trade-finance,Find-the-right-Trade-Finance-intellichoice.jpg,Find the right Trade Finance - intellichoice,,16
2431,Find the Right Invoice Finance,find-right-invoice-finance.html,Darin Hindmarsh,find-right-invoice-finance,Find-the-Right-Invoice-Finance-intellichoice.jpg,Find the Right Invoice Finance - intellichoice,,11
2123,Find an Owner Builder Home Loans,find-owner-builder-home-loans.html,Darin Hindmarsh,find-owner-builder-home-loans,Find-an-Owner-Builder-Home-Loans-intellichoice.jpg,Find an Owner Builder Home Loans - intellichoice,"25,30",13
2110,Can I Buy a Car with Defaults on My Credit File?,can-buy-car-defaults-credit-file.html,Darin Hindmarsh,can-buy-car-defaults-credit-file,Can-I-buy-a-car-with-defaults-on-my-credit-file-intellichoice.jpg,Can I buy a car with defaults on my credit file - intellichoice,"18,20","3,8"
2104,How SMSF can work in the current climate,smsf-can-work-current-climate.html,Darin Hindmarsh,smsf-can-work-current-climate,How-SMSF-can-work-in-the-current-climate-intellichoice.jpg,How SMSF can work in the current climate - intellichoice,23,15
2102,Lending for Self Managed Super Funds,lending-self-managed-super-funds.html,Darin Hindmarsh,lending-self-managed-super-funds,Lending-for-Self-Managed-Super-Funds-intellichoice.jpg,Lending for Self Managed Super Funds - intellichoice,28,15
2088,Thinking about becoming an owner builder?,thinking-becoming-owner-builder.html,Darin Hindmarsh,thinking-becoming-owner-builder,Thinking-about-becoming-an-owner-builder-intellichoice.jpg,Thinking about becoming an owner builder - intellichoice,30,13
2085,The affordable option,owner-builder-affordable-option.html,Darin Hindmarsh,owner-builder-affordable-option,The-affordable-option-intellichoice.jpg,The affordable option - intellichoice,30,13
2082,Requirements for an Owner Builder Loan,requirements-owner-builder-loan.html,Darin Hindmarsh,requirements-owner-builder-loan,Requirements-for-an-Owner-Builder-Loan-intellichoice.jpg,Requirements for an Owner Builder Loan - intellichoice,"25,30",13
2079,Owner Builder Renovations,owner-builder-renovations.html,Darin Hindmarsh,owner-builder-renovations,Owner-Builder-Renovations-intellichoice.jpg,Owner Builder Renovations - intellichoice,30,13
2076,The Tale of an Unprepared Owner Builder,tale-unprepared-owner-builder.html,Darin Hindmarsh,tale-unprepared-owner-builder,The-Tale-of-an-Unprepared-Owner-Builder-intellichoice.jpg,The Tale of an Unprepared Owner Builder - intellichoice,30,13
2073,Not everyone love Owner Builder Loans like we do,not-everyone-love-owner-builder-loans-like.html,Darin Hindmarsh,not-everyone-love-owner-builder-loans-like,Owner-Builder-Loans-like-we-do-intellichoice.jpg,Owner Builder Loans like we do - intellichoice,30,13
3514,Invest in Australian Property,invest-australian-property.html,Darin Hindmarsh,invest-australian-property,Invest-in-Australian-Property-Intellichoice.jpg,Invest in Australian Property - Intellichoice,22,6
3512,Unjust Bad Credit File | Bad Credit Home Loans,bad-credit-home-loans-unjust-bad-credit-file.html,Darin Hindmarsh,bad-credit-home-loans-unjust-bad-credit-file,Unjust-Bad-Credit-File-Intellichoice.jpg,Unjust Bad Credit File - Intellichoice,18,4
3511,Do I need Good Credit to get a Home Loan,need-good-credit-get-home-loan.html,Darin Hindmarsh,need-good-credit-get-home-loan,Do-I-need-Good-Credit-to-get-a-Home-Loan-Intellichoice.jpg,Do I need Good Credit to get a Home Loan - Intellichoice,25,4
3510,Tips for Maintaining your Credit File,tips-maintaining-credit-file.html,Darin Hindmarsh,tips-maintaining-credit-file,Tips-for-Maintaining-your-Credit-File-Intellichoice.jpg,Tips for Maintaining your Credit File - Intellichoice,18,4
